json_path,json_field,ontology_term,term_type,source_file,mapping_status,notes
[].house.uri,uri,agents:DailTerm / agents:SeanadTerm,Class,agents.owl.ttl,implicit,The URI is the IRI of the HouseTerm instance (subject node); no property needed. Typed agents:DailTerm when houseCode = "dail"; agents:SeanadTerm when houseCode = "seanad". Additionally co-typed eli-dl:ParliamentaryTerm to enable eli-dl:parliamentary_term references on activities and works.
[].house.showAs,showAs,skos:prefLabel,AnnotationProperty,W3C SKOS (external),mapped,Display name of the term (e.g. "34th Dáil"). Range plain literal with @en language tag. Applied to the HouseTerm instance. Documented in agents:HouseTerm skos:scopeNote.
[].house.houseNo,houseNo,:termNo,DatatypeProperty,agents.owl.ttl,new,Ordinal number of the parliamentary term (e.g. 34). API returns a quoted string — must be cast to xsd:integer. Applied to the HouseTerm instance.
[].house.houseCode,houseCode,:houseCode,DatatypeProperty,agents.owl.ttl,mapped,Short house identifier (e.g. "dail" or "seanad"). Range xsd:string. Applied to the HouseTerm instance. See also: chamberCode and houseType are exact duplicates and must be discarded.
[].house.chamberCode,chamberCode,—,—,—,implicit,Exact duplicate of houseCode in all known records. Discarded during conversion; :houseCode carries the value.
[].house.houseType,houseType,—,—,—,implicit,Exact duplicate of houseCode in all known records. Discarded during conversion; :houseCode carries the value.
[].house.chamberType,chamberType,—,—,—,implicit,Always "house" in this dataset. The plenary/committee distinction is expressed by OWL class typing (agents:DailTerm / agents:SeanadTerm vs other agents:House instances) not by a string literal. No property needed.
[].house.seats,seats,:seats,DatatypeProperty,agents.owl.ttl,new,Number of seats in this specific parliamentary term. Range xsd:integer. Placed on HouseTerm (not agents:House) because the count varies between terms (e.g. 33rd Dáil: 160; 34th Dáil: 174). Applied to the HouseTerm instance.
[].house.dateRange.start,start,dcat:startDate,DatatypeProperty,agents.owl.ttl (declares auxiliary dcat:startDate),new,Commencement date of the term. Mapped to dcat:startDate on a dct:PeriodOfTime blank node linked from the HouseTerm via dct:temporal. API value is a date string ("YYYY-MM-DD"); cast to xsd:dateTime for OWL 2 DL compatibility (xsd:date is outside the OWL 2 DL datatype map).
[].house.dateRange.end,end,dcat:endDate,DatatypeProperty,agents.owl.ttl (declares auxiliary dcat:endDate),new,Dissolution date of the term. Mapped to dcat:endDate on the same dct:PeriodOfTime node. Omitted entirely when the API value is null (current sitting term). Cast to xsd:dateTime for OWL 2 DL compatibility.
