json_path,json_field,ontology_term,term_type,source_file,mapping_status,notes
head.counts.billCount,billCount,—,—,—,future_work,API envelope — total number of bills returned; no ontology mapping needed
head.counts.resultCount,resultCount,—,—,—,future_work,API envelope — number of result objects returned; no ontology mapping needed
results[].contextDate,contextDate,—,—,—,future_work,API-generated response date; no ontology equivalent
results[].billSort.billNoSort,billNoSort,—,—,—,future_work,API sort key (integer); no ontology equivalent
results[].billSort.billYearSort,billYearSort,—,—,—,future_work,API sort key (integer); no ontology equivalent
results[].billSort.billShortTitleEnSort,billShortTitleEnSort,—,—,—,future_work,API sort key (slug string); no ontology equivalent
results[].billSort.billShortTitleGaSort,billShortTitleGaSort,—,—,—,future_work,API sort key (slug string); no ontology equivalent
results[].billSort.actNoSort,actNoSort,—,—,—,future_work,API sort key (integer); no ontology equivalent
results[].billSort.actYearSort,actYearSort,—,—,—,future_work,API sort key (integer); no ontology equivalent
results[].billSort.actShortTitleEnSort,actShortTitleEnSort,—,—,—,future_work,API sort key (slug string); no ontology equivalent
results[].billSort.actShortTitleGaSort,actShortTitleGaSort,—,—,—,future_work,API sort key (slug string); no ontology equivalent
results[].bill.uri,uri,eli-dl:DraftLegislationWork,Class,legislation.owl.ttl (imports eli-dl),implicit,Bill URI is the IRI of the eli-dl:DraftLegislationWork instance; also typed eli:LegalResource. No property needed — the IRI is the subject node.
results[].bill.billNo,billNo,eli-dl:process_number,DatatypeProperty,eli-dl: (external),new,Number component of the bill identifier (e.g. "60"). Range xsd:string. Annotated in legislation.owl.ttl. The compound year/number identifier is carried by eli:id_local.
results[].bill.billYear,billYear,:legislativeYear,DatatypeProperty,legislation.owl.ttl,new,Year component of the bill identifier. Range xsd:integer (xsd:gYear ideal but outside OWL 2 DL datatype map). Applied to the eli-dl:DraftLegislationWork instance.
results[].bill.billType,billType,—,—,—,implicit,Human-readable string ("Public" / "Private"); covered by billTypeURI. No separate mapping needed.
